ID,a1,a2,a3,a4,a5,a6,d1,d2,d3,d4,d5,d6,oxd
LACDAY02.Fe(ii).pdb,O,O,N,N,N,O,2.1101531982421875,2.117732048034668,2.125469446182251,2.1299655437469482,2.1324174404144287,2.1518571376800537,2
LACDAY02.Fe(ii).pdb,O,O,N,N,O,N,2.1168606281280518,2.1201324462890625,2.1271231174468994,2.129413604736328,2.1391079425811768,2.1496803760528564,2
LACDAY02.Fe(ii).pdb,O,N,O,N,N,O,2.1182689666748047,2.1271419525146484,2.127251625061035,2.12880277633667,2.1426126956939697,2.1610705852508545,2
LACDAY02.Fe(ii).pdb,O,O,N,N,O,N,2.122385025024414,2.1288557052612305,2.142834186553955,2.1475255489349365,2.150630235671997,2.1517043113708496,2
KUYKEV.Fe(ii).pdb,N,N,N,CL,CL,CL,2.103111505508423,2.2385623455047607,2.2516937255859375,2.275667667388916,2.3638203144073486,2.365003824234009,2
UCIVEH.Fe(ii).pdb,N,N,O,O,N,N,2.123290538787842,2.123290777206421,2.158957004547119,2.159806728363037,2.2018048763275146,2.2021141052246094,2
ZERFAG.Fe(ii).pdb,N,N,NE,NE,NE,NE,2.0151736736297607,2.030761957168579,100.0,100.0,100.0,100.0,2
YARQUF.Fe(ii).pdb,C,C,C,C,C,C,2.036954879760742,2.0374717712402344,2.038564920425415,2.0413806438446045,2.044224262237549,2.044404983520508,2
YARQUF.Fe(ii).pdb,C,C,C,C,C,C,2.0373730659484863,2.0379786491394043,2.038564920425415,2.042043924331665,2.044224500656128,2.0442795753479004,2
BOFZOM.Fe(ii).pdb,C,C,C,C,C,C,2.042661190032959,2.043839931488037,2.0440895557403564,2.0489232540130615,2.0493063926696777,2.0501163005828857,2
KUGXIU.Fe(ii).pdb,N,N,O,S,NE,NE,2.0181050300598145,2.0206055641174316,2.073089599609375,2.2883565425872803,100.0,100.0,2
JUPHEK.Fe(ii).pdb,O,CL,CL,CL,NE,NE,2.130521774291992,2.2517006397247314,2.3566806316375732,2.360229969024658,100.0,100.0,2
JUPHEK.Fe(ii).pdb,O,O,CL,CL,CL,CL,2.0862765312194824,2.11447811126709,2.437638282775879,2.449486494064331,2.4659786224365234,2.481294870376587,2
JUPHEK.Fe(ii).pdb,O,CL,CL,CL,NE,NE,2.1304430961608887,2.253098249435425,2.355531692504883,2.3598506450653076,100.0,100.0,2
AQAPOY.Fe(ii).pdb,O,N,O,O,N,O,2.0492844581604004,2.098907709121704,2.1180429458618164,2.122898578643799,2.124929189682007,2.329465627670288,2
